"ТОВ ""ЛІС-Центр С""  ";"Вивезення ТПВ 0.1925 0.1925 ";"Електроенергія на освітлення місць загального користування 0.0400 0.0200 ";"Прибирання прибудинкової території 0.4017 0.4017 ";"Обслуговування внутрішньобудинкових мереж 0.5610 0.2640 ";"Поточний ремонт 0.4485 0.2340 ";"Інші витрати 0.0600 0.0600 ";"Всього собівартість грн/кв. м 1.7037 1.1722 ";"Єдиний податок 0.1097 0.0755 ";"Тариф за 1 кв.м загальної площі. грн/кв. м 1.8134 1.2477 "
"ТОВ ""Николаевдомсервис"" дільниця 1  ";"Вивезення ТПВ 0.1258 0.1258 0.1258 0.1258 ";"Технічне обслуговування ліфтів 0.2991 0 0 0";"Диспетчеризація ліфтів 0.0750 0 0 0";"Електроенергія для ліфтів 0.0473 0 0 0";"Електроенергія на освітлення місць загального користування 0.0234 0.0234 0.0234 0.0281 ";"Прибирання прибудинкової території 0.3476 0.3476 0.3754 0.3754 ";"Обслуговування внутрішньобудинкових мереж 0.5792 0.5792 0.5643 0.5198 ";"Поточний ремонт 0.4388 0.4388 0.4388 0.4212 ";"Інші витрати 0.0500 0.0500 0.0500 0.0500 ";"Всього собівартість. грн/кв. м 1.9862 1.5648 1.5777 1.5203 ";"ПДВ 20% 0.3972 0.3130 0.3155 0.3041 ";"Тариф за 1 кв.м загальної площі. грн/кв. м 2.3834 1.8778 1.8932 1.8244 "
"ТОВ ""Николаевдомсервис"" дільниця 2 (колишня територія ТОВ ""Нордстар-Юг"")  ";"Технічне обслуговування ліфтів 0.3589 0 0 0 0";"Диспетчеризація ліфтів 0.0900 0 0 0 0";"Електроенергія для ліфтів 0.0568 0 0 0 0";"Електроенергія на освітлення місць загального користування 0.0281 0.0281 0.0281 0.0240 0";"Прибирання прибудинкової території 0.3615 0.3615 0.3232 0.3502 0.3502 ";"Обслуговування внутрішньобудинкових мереж 0.5533 0.5533 0.4514 0.4659 0.1165 ";"Поточний ремонт 0.4597 0.4597 0.3536 0.3713 0.3536 ";"Інші витрати 0.0500 0.0500 0.0500 0.0500 0.0500 ";"Всього собівартість. грн/кв. м 1.9583 1.4526 1.2063 1.2614 0.8703 ";"Єдиний податок 0.1261 0.0935 0.0777 0.0812 0.0560 ";"Тариф за 1 кв.м загальної площі. грн/кв. м 2.0844 1.5461 1.2840 1.3426 0.9263 "
"ТОВ«Николаевдомсервис» ";"Вивезення ТПВ        0.16 0.16 0.16 0.16 ";"Технічне обслуговування ліфтів КП ""Миколаївліфт"" 0.36 0 0 0";"Диспетчеризація ліфтів 0.09 0 0 0";"Електроенергія для ліфтів 0.06 0 0 0";"Електроенергія на освітлення місць загального користування 0.04 0.04 0.04 0.02 ";"Прибирання прибудинкової території 0.26 0.26 0.28 0.28 ";"Обслуговування внутрішньобудинкових мереж. ліквідація  аварій на внутрішньобудинкових мережах. підготовка до експлуатації в  осінньо-зимовий період 0.40 0.40 0.39 0.36 ";"Поточний ремонт 0.26 0.26 0.26 0.25 ";"Інші витрати (податки. % за банківське обслуговування.  послуги МІРЦ. витрати на виготовлення книжок. видача довідок) 0.06 0.06 0.06 0.06 ";"Всього собівартість. грн/кв. м 1.69 1.18 1.19 1.13 ";"Єдиний податок 0.11 0.08 0.08 0.07 ";"Тариф за 1 кв.м  загальної площі. грн/кв. м 1.80 1.26 1.27 1.20 "
"ТОВ""Лескі-М""  ";"Вивезення ТПВ 0.1599 0.1599 0.1599 0.1599 ";"Технічне обслуговування ліфтів 0.3600 0 0 0";"Диспетчеризація ліфтів 0.0900 0 0 0";"Електроенергія для ліфтів 0.0600 0 0 0";"Електроенергія на освітлення місць загального користування 0.0281 0.0281 0.0281 0.0337 ";"Прибирання прибудинкової території 0.3754 0.3754 0.3754 0.4032 ";"Обслуговування внутрішньобудинкових мереж 0.5495 0.5495 0.5495 0.4901 ";"Поточний ремонт 0.5090 0.5090 0.5090 0.4388 ";"Інші витрати 0.0600 0.0600 0.0600 0.0600 ";"Всього собівартість. грн/кв. м 2.1919 1.6819 1.6819 1.5857 ";"Єдиний податок 0.1412 0.1083 0.1083 0.1021 ";"Тариф за 1 кв.м загальної площі. грн/кв. м 2.3331 1.7902 1.7902 1.6878 "
"ТОВ""Намив-1""  ";"Вивезення ТПВ 0.1400 0.1400 0 0 0";"Технічне обслуговування ліфтів 0.2991 0 0 0 0";"Диспетчеризація ліфтів 0.0750 0 0 0 0";"Електроенергія для ліфтів 0.0473 0 0 0 0";"Електроенергія на освітлення місць загального користування 0.0234 0.0234 0.0234 0.0281 0";"Прибирання прибудинкової території 0.3476 0.3476 0.3059 0.2503 0.2086 ";"Обслуговування внутрішньобудинкових мереж 0.5643 0.5643 0.5643 0.4604 0";"Поточний ремонт 0.4388 0.4388 0.4388 0.3510 0.2984 ";"Інші витрати 0.0500 0.0500 0.0500 0.0500 0.0500 ";"Всього собівартість. грн/кв. м 1.9855 1.5641 1.3824 1.1398 0.5570 ";"ПДВ 20% 0.3971 0.3128 0.2765 0.2280 0.1114 ";"Тариф за 1 кв.м загальної площі. грн/кв. м 2.3826 1.8769 1.6589 1.3678 0.6684 "
"ДП ""Корунд"" ПП ""ЖЕД-6""  ";"Вивезення ТПВ 0.1745 0.1745 0.1745 ";"Технічне обслуговування ліфтів 0.3589 0 0";"Диспетчеризація ліфтів 0.0900 0 0";"Електроенергія для ліфтів 0.0568 0 0";"Електроенергія на освітлення місць загального користування 0.0281 0.0281 0.0281 ";"Прибирання прибудинкової території 0.3476 0.3476 0.3476 ";"Обслуговування внутрішньобудинкових мереж 0.5363 0.5363 0.5363 ";"Поточний ремонт 0.4713 0.4713 0.4713 ";"Інші витрати 0.0500 0.0500 0.0500 ";"Всього собівартість. грн/кв. м 2.1135 1.6078 1.6078 ";"Єдиний податок 0.1361 0.1035 0.1035 ";"Тариф за 1 кв.м загальної площі. грн/кв. м 2.2496 1.7113 1.7113 "
"ДП ""Корунд"" ПП ""ЖЕД-7""  ";"Вивезення ТПВ 0.1620 0.1620 0.1620 0.1620 0.1620 ";"Технічне обслуговування ліфтів 0.3589 0 0 0 0";"Диспетчеризація ліфтів 0.0900 0 0 0 0";"Електроенергія для ліфтів 0.0568 0 0 0 0";"Електроенергія на освітлення місць загального користування 0.0281 0.0281 0.0281 0.0337 0";"Прибирання прибудинкової території 0.3615 0.3615 0.3615 0.2276 0.2009 ";"Обслуговування внутрішньобудинкових мереж 0.5577 0.5577 0.5577 0.5291 0";"Поточний ремонт 0.4901 0.4901 0.4901 0.3718 0.3211 ";"Інші витрати 0.0500 0.0500 0.0500 0.0500 0.0500 ";"Всього собівартість. грн/кв. м 2.1551 1.6494 1.6494 1.3742 0.7340 ";"Єдиний податок 0.1388 0.1062 0.1062 0.0885 0.0473 ";"Тариф за 1 кв.м загальної площі. грн/кв. м 2.2939 1.7556 1.7556 1.4627 0.7813 "
"ДП ""Корунд"" ПП ""ЖЕД-10 "" (колишня територія 2-ї дільниці ПП""Шалгіс"" )  ";"Вивезення ТПВ 0.1795 0.1795 0.1795 0.1795 0.1795 ";"Технічне обслуговування ліфтів 0.3589 0 0 0 0";"Диспетчеризація ліфтів 0.0900 0 0 0 0";"Електроенергія для ліфтів 0.0568 0 0 0 0";"Електроенергія на освітлення місць загального користування 0.0281 0.0281 0.0281 0.0337 0";"Прибирання прибудинкової території 0.3615 0.3615 0.3615 0.2276 0.2009 ";"Обслуговування внутрішньобудинкових мереж 0.5577 0.5577 0.5577 0.5291 0";"Поточний ремонт 0.4901 0.4901 0.4901 0.3718 0.3211 ";"Інші витрати 0.0500 0.0500 0.0500 0.0500 0.0500 ";"Всього собівартість. грн/кв. м 2.1726 1.6669 1.6669 1.3917 0.7515 ";"Єдиний податок 0.1399 0.1073 0.1073 0.0896 0.0484 ";"Тариф за 1 кв.м загальної площі. грн/кв. м 2.3125 1.7742 1.7742 1.4813 0.7999 "
"ЖКП ММР ""Бріз""   ";"Вивезення ТПВ 0.1495 0.1495 0.1495 0.1495 ";"Технічне обслуговування ліфтів 0.2991 0 0 0";"Диспетчеризація ліфтів 0.0750 0 0 0";"Електроенергія для ліфтів 0.0473 0 0 0";"Електроенергія на освітлення місць загального користування 0.0234 0.0234 0.0281 0.0229 ";"Прибирання прибудинкової території 0.3476 0.3476 0.3476 0.3476 ";"Обслуговування внутрішньобудинкових мереж 0.5346 0.5346 0.5198 0.0297 ";"Поточний ремонт 0.4563 0.4563 0.4388 0.2808 ";"Інші витрати 0.0500 0.0500 0.0500 0.0500 ";"Всього собівартість. грн/кв. м 1.9828 1.5614 1.5338 0.8805 ";"ПДВ 20% 0.3966 0.3123 0.3068 0.1761 ";"Тариф за 1 кв.м загальної площі. грн/кв. м 2.3794 1.8737 1.8406 1.0566 "
"КП СКП ""Гуртожиток""  ";"Вивезення ТПВ 0.1878 0.1878 0.1878 0.1878 ";"Технічне обслуговування ліфтів 0.2991 0 0 0";"Диспетчеризація ліфтів 0.0750 0 0 0";"Електроенергія для ліфтів 0.0473 0 0 0";"Електроенергія на освітлення місць загального користування 0.0460 0.0460 0.0450 0.0470 ";"Прибирання прибудинкової території 0.3411 0.3411 0.3411 0.3411 ";"Обслуговування внутрішньобудинкових мереж 0.5861 0.5861 0.5861 0.4910 ";"Поточний ремонт 0.4680 0.4680 0.4680 0.3931 ";"Інші витрати 0.0500 0.0500 0.0500 0.0500 ";"Всього собівартість. грн/кв. м 2.1004 1.6790 1.6780 1.5100 ";"ПДВ 20% 0.4201 0.3358 0.3356 0.3020 ";"Тариф за 1 кв.м загальної площі. грн/кв. м 2.5205 2.0148 2.0136 1.8120 "
http://www.gorsovet.mk.ua/services/flat.ua
